repo_owner,repo_name,repo_license,license_category,rows,source_url_count,sample_source_url
linke-quantum,QCAE-master,Apache-2.0,permissive,168,5,https://github.com/linke-quantum/QCAE-master/blob/main/experiments/exp2-anomaly-detection-under-noise.py
qiskit-community,adapt-aqc,Apache-2.0,permissive,168,13,https://github.com/qiskit-community/adapt-aqc/blob/main/adaptaqc/compilers/adapt/adapt_compiler.py
xthecapx,qiskit-qward,Apache-2.0,permissive,168,9,https://github.com/xthecapx/qiskit-qward/blob/main/qward/algorithms/eigensolver/ansatz.py
GabrieleMessina,qutes_lang,MIT,permissive,162,2,https://github.com/GabrieleMessina/qutes_lang/blob/development/src/quantum_circuit/quantum_circuit_handler.py
Qiskit,qiskit-basis-constructor,Apache-2.0,permissive,162,3,https://github.com/Qiskit/qiskit-basis-constructor/blob/main/src/qiskit_basis_constructor/constructor.py
Quantinuum,pytket-cutensornet,Apache-2.0,permissive,162,12,https://github.com/Quantinuum/pytket-cutensornet/blob/main/pytket/extensions/cutensornet/backends/cutensornet_backend.py
RQM-Technologies-dev,rqm-optimize,MIT,permissive,162,2,https://github.com/RQM-Technologies-dev/rqm-optimize/blob/main/examples/basic_optimize.py
aryansingh920,Quantum-Enhanced-Portfolio-Optimization-Using-Enhanced-Grover-s-Search-in-Financial-Subspaces,Apache-2.0,permissive,162,8,https://github.com/aryansingh920/Quantum-Enhanced-Portfolio-Optimization-Using-Enhanced-Grover-s-Search-in-Financial-Subspaces/blob/main/main/segc/oracle.py
AbhiDu96,quantum-wasserstein-compilation,Apache-2.0,permissive,150,5,https://github.com/AbhiDu96/quantum-wasserstein-compilation/blob/main/bayqs-qiskit-torch-module-multiple_circuits/qiskit_torch_module/gradients_custom/base_custom/base_estimator_gradient_custom.py
KOSASIH,PiOpenHub,Apache-2.0,permissive,150,16,https://github.com/KOSASIH/PiOpenHub/blob/main/src/blockchain/piChainLink/quantum_graph_analysis.py
Quantinuum,pytket-docs,Apache-2.0,permissive,150,11,https://github.com/Quantinuum/pytket-docs/blob/main/docs/examples/algorithms_and_protocols/entanglement_swapping.ipynb
Riccardoalfieri2003,Q-Spire,MIT,permissive,150,4,https://github.com/Riccardoalfieri2003/Q-Spire/blob/main/qspire/detection/StaticDetection/AutoFix_Mapping.py
justinbrianhwang,Quantum-Simulator,Apache-2.0,permissive,150,7,https://github.com/justinbrianhwang/Quantum-Simulator/blob/main/quantum_sim/engine/algorithms.py
CompPhysics,ThesisProjects,CC0-1.0,permissive,144,1,https://github.com/CompPhysics/ThesisProjects/blob/master/doc/MSc/msc_students/former/AudunHansen/Audun/Pythonscripts/CCAlgebra_mk3.py
Youngcius,canopus,Apache-2.0,permissive,144,9,https://github.com/Youngcius/canopus/blob/master/benchmarks/gene_mirage_benchmark.py
filipmazurek,circuit-knitting-toolbox-modified,Apache-2.0,permissive,144,10,https://github.com/filipmazurek/circuit-knitting-toolbox-modified/blob/main/docs/circuit_cutting/gate_and_wire_cuts/algorithm_examples/benchmark.py
qiskit-community,ibm-quantum-challenge-spring-2023,Apache-2.0,permissive,144,9,https://github.com/qiskit-community/ibm-quantum-challenge-spring-2023/blob/main/content/lab_1/lab1-es.ipynb
JooNiv,QCut,Apache-2.0,permissive,138,3,https://github.com/JooNiv/QCut/blob/main/QCut/QCutFind/combine_subcircuits.py
KOSASIH,nexus-infinity-core,Apache-2.0,permissive,138,18,https://github.com/KOSASIH/nexus-infinity-core/blob/main/evolution/evolutionary_algorithms/evolution_strategy.py
Quantinuum,IronBridge.Libs.PDFWriter,Apache-2.0,permissive,138,6,https://github.com/Quantinuum/IronBridge.Libs.PDFWriter/blob/main/FreeType/src/tools/docmaker/content.py
fdamore,QK,MIT,permissive,138,5,https://github.com/fdamore/QK/blob/main/jobs/trained/run_QK.py
rakytap,sequential-quantum-gate-decomposer,Apache-2.0,permissive,138,2,https://github.com/rakytap/sequential-quantum-gate-decomposer/blob/master/squander/decomposition/qgd_Wide_Circuit_Optimization.py
FedorShind,EMRG,MIT,permissive,132,3,https://github.com/FedorShind/EMRG/blob/main/benchmarks/run_benchmark.py
